time,id,direction,grade,composite,tech,news,price,entry,sl,tp1,tp2,tp3,rr1,confirms,sent,source,trigger
2026-08-21T06:41:15.667730+00:00,260821-0641-BB,BUY,B,59.5,59.5,0.0,4565.49,4565.49,4522.06,4630.63,4674.06,4717.49,1.5,4,True,,
2026-08-21T08:58:11.711163+00:00,260821-0858-N—,NO-TRADE,—,66.7,66.7,0.0,4581.0,4581.0,4537.43,4646.36,4689.93,4733.5,1.5,4,False,,
2026-08-21T09:30:22.407478+00:00,260821-0930-N—,NO-TRADE,—,66.4,66.4,0.0,4581.95,4581.95,4537.99,4647.9,4691.86,4735.82,1.5,4,False,,
2026-08-21T09:36:38.895840+00:00,260821-0936-N—,NO-TRADE,—,67.1,67.1,0.0,4583.88,4583.88,4539.92,4649.82,4693.78,4737.74,1.5,4,False,,
2026-08-21T10:30:10.529005+00:00,260821-1030-N—,NO-TRADE,—,67.8,67.8,0.0,4588.2,4588.2,4545.35,4652.46,4695.31,4738.15,1.5,4,False,twelvedata,
2026-08-21T10:30:43.316851+00:00,260821-1030-N—,NO-TRADE,—,67.5,67.5,0.0,4587.04,4587.04,4544.2,4651.31,4694.15,4736.99,1.5,4,False,twelvedata,
2026-08-21T11:39:13.944693+00:00,260821-1139-N—,NO-TRADE,—,70.6,70.6,0.0,4602.29,4602.29,4558.76,4667.58,4711.12,4754.65,1.5,4,False,twelvedata,
2026-08-21T13:09:21.017813+00:00,260821-1309-BB,BUY,B,56.9,56.9,0.0,4581.8,4581.8,4536.44,4649.86,4695.22,4740.59,1.5,4,True,twelvedata,
2026-08-21T13:57:17.440394+00:00,260821-1357-BB,BUY,B,56.0,56.0,0.0,4577.74,4577.74,4530.82,4648.12,4695.04,4741.97,1.5,4,False,twelvedata,
2026-08-21T14:52:12.947864+00:00,260821-1452-N—,NO-TRADE,—,58.2,58.2,0.0,4591.59,4591.59,4543.86,4663.18,4710.9,4758.63,1.5,4,False,twelvedata,
2026-08-21T15:46:53.658242+00:00,260821-1546-BB,BUY,B,62.2,62.2,0.0,4610.22,4610.22,4561.95,4682.61,4730.88,4779.14,1.5,4,True,twelvedata,
2026-08-21T16:50:18.211823+00:00,260821-1650-N—,NO-TRADE,—,69.0,69.0,0.0,4624.89,4624.89,4576.32,4697.75,4746.33,4794.9,1.5,4,False,twelvedata,
2026-08-21T17:43:11.430272+00:00,260821-1743-N—,NO-TRADE,—,68.4,68.4,0.0,4623.21,4623.21,4574.57,4696.17,4744.82,4793.46,1.5,4,False,twelvedata,
2026-08-21T18:54:03.805180+00:00,260821-1854-N—,NO-TRADE,—,67.6,67.6,0.0,4623.94,4623.94,4577.2,4694.04,4740.78,4787.52,1.5,4,False,twelvedata,
2026-08-21T19:35:54.106905+00:00,260821-1935-N—,NO-TRADE,—,60.0,60.0,0.0,4618.1,4618.1,4573.32,4685.27,4730.06,4774.84,1.5,4,False,twelvedata,
2026-08-21T20:38:45.645722+00:00,260821-2038-BB,BUY,B,56.0,56.0,0.0,4611.06,4611.06,4567.39,4676.56,4720.23,4763.9,1.5,4,True,twelvedata,
2026-08-23T22:36:18.318670+00:00,260823-2236-N—,NO-TRADE,—,45.5,45.5,0.0,4615.51,4615.51,4608.74,4625.67,4631.91,4639.21,1.5,3,False,twelvedata,
2026-08-23T23:34:23.764734+00:00,260823-2334-N—,NO-TRADE,—,52.0,52.0,0.0,4617.6,4617.6,4609.07,4631.91,4638.92,4647.45,1.68,4,False,twelvedata,
2026-08-24T01:56:32.361114+00:00,260824-0156-BB,BUY,B,60.5,60.5,0.0,4625.11,4625.11,4605.55,4654.44,4674.0,4693.56,1.5,4,True,twelvedata,
